거래일, 시간 ,지역명,연료원명,전력거래량
2017-01-01,01:00,경기도,태양광,0
2017-01-01,02:00,경기도,태양광,0
2017-01-01,03:00,경기도,태양광,0
2017-01-01,04:00,경기도,태양광,0
2017-01-01,05:00,경기도,태양광,0
2017-01-01,06:00,경기도,태양광,0
2017-01-01,07:00,경기도,태양광,0
2017-01-01,08:00,경기도,태양광,0.0096
2017-01-01,09:00,경기도,태양광,1.811588
2017-01-01,10:00,경기도,태양광,6.028255
2017-01-01,11:00,경기도,태양광,12.768947
2017-01-01,12:00,경기도,태양광,22.079356
2017-01-01,13:00,경기도,태양광,23.492358
2017-01-01,14:00,경기도,태양광,19.565652
2017-01-01,15:00,경기도,태양광,13.446742
2017-01-01,16:00,경기도,태양광,7.575874
2017-01-01,17:00,경기도,태양광,1.92053
2017-01-01,18:00,경기도,태양광,0.021323
2017-01-01,19:00,경기도,태양광,0
2017-01-01,20:00,경기도,태양광,0
2017-01-01,21:00,경기도,태양광,0
2017-01-01,22:00,경기도,태양광,0
2017-01-01,23:00,경기도,태양광,0
2017-01-01,00:00,경기도,태양광,0
2017-01-01,01:00,강원도,태양광,0
2017-01-01,02:00,강원도,태양광,0
2017-01-01,03:00,강원도,태양광,0
2017-01-01,04:00,강원도,태양광,0
2017-01-01,05:00,강원도,태양광,0
2017-01-01,06:00,강원도,태양광,0
2017-01-01,07:00,강원도,태양광,0
2017-01-01,08:00,강원도,태양광,0.048453
2017-01-01,09:00,강원도,태양광,3.93008
2017-01-01,10:00,강원도,태양광,11.700771
2017-01-01,11:00,강원도,태양광,17.713295
2017-01-01,12:00,강원도,태양광,21.831908
2017-01-01,13:00,강원도,태양광,27.546529
2017-01-01,14:00,강원도,태양광,34.037436
2017-01-01,15:00,강원도,태양광,22.041924
2017-01-01,16:00,강원도,태양광,12.800172
2017-01-01,17:00,강원도,태양광,3.263316
2017-01-01,18:00,강원도,태양광,0.004296
2017-01-01,19:00,강원도,태양광,0
2017-01-01,20:00,강원도,태양광,0
2017-01-01,21:00,강원도,태양광,0
2017-01-01,22:00,강원도,태양광,0
2017-01-01,23:00,강원도,태양광,0
2017-01-01,00:00,강원도,태양광,0
2017-01-01,01:00,경상남도,태양광,0
2017-01-01,02:00,경상남도,태양광,0
2017-01-01,03:00,경상남도,태양광,0
2017-01-01,04:00,경상남도,태양광,0
2017-01-01,05:00,경상남도,태양광,0
2017-01-01,06:00,경상남도,태양광,0
2017-01-01,07:00,경상남도,태양광,0
2017-01-01,08:00,경상남도,태양광,0.225517
2017-01-01,09:00,경상남도,태양광,8.714169
2017-01-01,10:00,경상남도,태양광,23.566117
2017-01-01,11:00,경상남도,태양광,41.713383
2017-01-01,12:00,경상남도,태양광,62.501678
2017-01-01,13:00,경상남도,태양광,69.872346
2017-01-01,14:00,경상남도,태양광,65.959001
2017-01-01,15:00,경상남도,태양광,55.945778
2017-01-01,16:00,경상남도,태양광,33.709078
2017-01-01,17:00,경상남도,태양광,10.339253
2017-01-01,18:00,경상남도,태양광,0.398529
2017-01-01,19:00,경상남도,태양광,0
2017-01-01,20:00,경상남도,태양광,0
2017-01-01,21:00,경상남도,태양광,0
2017-01-01,22:00,경상남도,태양광,0
2017-01-01,23:00,경상남도,태양광,0
2017-01-01,00:00,경상남도,태양광,0
2017-01-01,01:00,경상북도,태양광,0
2017-01-01,02:00,경상북도,태양광,0
2017-01-01,03:00,경상북도,태양광,0
2017-01-01,04:00,경상북도,태양광,0
2017-01-01,05:00,경상북도,태양광,0
2017-01-01,06:00,경상북도,태양광,0
2017-01-01,07:00,경상북도,태양광,0
2017-01-01,08:00,경상북도,태양광,0.214688
2017-01-01,09:00,경상북도,태양광,9.171269
2017-01-01,10:00,경상북도,태양광,34.92559
2017-01-01,11:00,경상북도,태양광,61.401262
2017-01-01,12:00,경상북도,태양광,82.009241
2017-01-01,13:00,경상북도,태양광,92.660822
2017-01-01,14:00,경상북도,태양광,96.045611
2017-01-01,15:00,경상북도,태양광,81.887022
2017-01-01,16:00,경상북도,태양광,48.936096
2017-01-01,17:00,경상북도,태양광,12.521358
2017-01-01,18:00,경상북도,태양광,0.525691
2017-01-01,19:00,경상북도,태양광,0.033178
2017-01-01,20:00,경상북도,태양광,0
2017-01-01,21:00,경상북도,태양광,0
2017-01-01,22:00,경상북도,태양광,0
2017-01-01,23:00,경상북도,태양광,0
2017-01-01,00:00,경상북도,태양광,0
2017-01-01,01:00,전라남도,태양광,0
2017-01-01,02:00,전라남도,태양광,0
2017-01-01,03:00,전라남도,태양광,0
2017-01-01,04:00,전라남도,태양광,0
2017-01-01,05:00,전라남도,태양광,0
2017-01-01,06:00,전라남도,태양광,0
2017-01-01,07:00,전라남도,태양광,0
2017-01-01,08:00,전라남도,태양광,0.765743
2017-01-01,09:00,전라남도,태양광,29.290235
2017-01-01,10:00,전라남도,태양광,112.235873
2017-01-01,11:00,전라남도,태양광,207.166467
2017-01-01,12:00,전라남도,태양광,289.738184
2017-01-01,13:00,전라남도,태양광,321.288924
